2026-01-16T21:39:49+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:50+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:51+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:52+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:53+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:54+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:55+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:56+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:57+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:39:58+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:39:59+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:00+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:01+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:02+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:03+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:04+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:05+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:06+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:07+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:08+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:09+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:10+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:11+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:12+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:13+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:14+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:15+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:16+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:17+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:18+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:19+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:20+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:21+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:22+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:23+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:24+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:25+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:26+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:27+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:28+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:29+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:30+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:31+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:32+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:33+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:34+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:35+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:36+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:37+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:38+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:39+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:40+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:41+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:42+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:43+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:44+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:45+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:46+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:47+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:48+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:49+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:50+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:51+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:52+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:53+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:54+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:55+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:56+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:57+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:40:58+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:40:59+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:00+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:01+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:02+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:03+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:04+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:05+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:06+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:07+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:08+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:09+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:10+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:11+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:12+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:13+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:14+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:15+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:16+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:17+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:18+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:19+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:20+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:21+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:22+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:23+01:00,user_1,60.00,0.00,Skipped,normal
2026-01-16T21:41:24+01:00,user_1,55.00,0.00,Skipped,normal
2026-01-16T21:41:25+01:00,user_1,60.00,0.00,Skipped,normal
